feature,mean_abs_shap,shap_rank,delta_rmse_mean,delta_r2_mean,perm_rank,final_role,rank_gap_abs,consensus_top10
location,264.40537396305876,1,66.6175295945065,0.0721278580584888,3,context,2,True
country,191.66626702149932,2,46.427939039995124,0.04993387550280412,6,context,4,True
soil_P,158.80189184713876,3,63.285176391808534,0.06838490117583149,4,context,1,True
variety,129.75664432796862,4,83.62416058221538,0.09179188976853246,1,modifiable,3,True
soil_pH,109.33681854651266,5,30.93712745592859,0.03289296539838853,9,context,4,True
P_fertilizer,100.5971890780457,6,51.06725232215737,0.05483533163382566,5,modifiable,1,True
plot_area,92.69282361054597,7,38.5791624995272,0.041183613889640105,7,context,0,True
flooded,39.968164643251214,9,72.73361900575125,0.07895142617039545,2,modifiable,7,True
planting_date,31.270049073032784,10,38.427751307405,0.041012969130706095,8,context,2,True
latitude,44.45369152509764,8,2.097304312478869,0.0022094642809756815,12,context,4,False
longitude,17.66521151945422,11,0.685340204658587,0.0007200649419327049,15,context,4,False
K_fertilizer,5.073128430753288,12,0.8127321193773298,0.0008531451025006603,14,modifiable,2,False
season,4.4368953899842,13,9.768589025684975,0.010272023642563466,10,context,3,False
row_spacing,4.4327327284001035,14,-2.532468847017853,-0.0026465291903836757,17,modifiable,3,False
N_fertilizer,2.7175785325084516,15,-0.3030790662578511,-0.00031344709448791197,16,modifiable,1,False
irrigated,1.1463436888968643,16,2.067244407096055,0.002175755171606994,13,modifiable,3,False
rep,0.09990744445768643,17,6.616193330008514,0.006945848375687402,11,context,6,False
