rule_id,seed,country,n_country_test,support_count,support_pct,actual_lift_vs_country_baseline,predicted_lift_vs_country_baseline
R1,42,Benin,107,33,0.308411214953271,-685.8424582271314,-297.932143342548
R1,42,Burkina Faso,20,0,0.0,,
R1,42,Japan,7,6,0.8571428571428571,-121.47666666666646,-22.047049022888586
R1,42,Nigeria,12,6,0.5,-574.9624999999996,-58.97841992099666
R1,42,Philippines,14,0,0.0,,
R2,42,Benin,107,36,0.3364485981308411,-98.25457943925267,-149.92694965358896
R2,42,Burkina Faso,20,0,0.0,,
R2,42,Japan,7,1,0.14285714285714285,728.8600000000001,132.28229413732606
R2,42,Nigeria,12,6,0.5,574.9624999999996,58.97841992099666
R2,42,Philippines,14,0,0.0,,
R3,42,Benin,107,21,0.19626168224299065,-25.639817534490703,65.0428827851033
R3,42,Burkina Faso,20,0,0.0,,
R3,42,Japan,7,0,0.0,,
R3,42,Nigeria,12,0,0.0,,
R3,42,Philippines,14,0,0.0,,
R4,42,Benin,107,0,0.0,,
R4,42,Burkina Faso,20,20,1.0,0.0,0.0
R4,42,Japan,7,0,0.0,,
R4,42,Nigeria,12,0,0.0,,
R4,42,Philippines,14,0,0.0,,
R5,42,Benin,107,17,0.1588785046728972,1571.0824793842767,815.4841399615366
R5,42,Burkina Faso,20,0,0.0,,
R5,42,Japan,7,0,0.0,,
R5,42,Nigeria,12,0,0.0,,
R5,42,Philippines,14,0,0.0,,
R6,42,Benin,107,0,0.0,,
R6,42,Burkina Faso,20,0,0.0,,
R6,42,Japan,7,0,0.0,,
R6,42,Nigeria,12,0,0.0,,
R6,42,Philippines,14,7,0.5,249.08428571428567,121.81647714226528
R7,42,Benin,107,0,0.0,,
R7,42,Burkina Faso,20,0,0.0,,
R7,42,Japan,7,0,0.0,,
R7,42,Nigeria,12,0,0.0,,
R7,42,Philippines,14,7,0.5,-249.08428571428567,-121.81647714226574
R1,52,Benin,107,33,0.308411214953271,-310.9364146134235,-246.14463628767544
R1,52,Burkina Faso,20,0,0.0,,
R1,52,Japan,7,5,0.7142857142857143,527.0,150.1094663681156
R1,52,Nigeria,12,7,0.5833333333333334,-627.1311904761901,-138.14874929706002
R1,52,Philippines,14,0,0.0,,
R2,52,Benin,107,36,0.3364485981308411,-88.99353582554522,-269.1089789550306
R2,52,Burkina Faso,20,0,0.0,,
R2,52,Japan,7,2,0.2857142857142857,-1317.5,-375.2736659202883
R2,52,Nigeria,12,5,0.4166666666666667,877.983666666667,193.4082490158844
R2,52,Philippines,14,0,0.0,,
R3,52,Benin,107,22,0.205607476635514,-162.41096006797034,114.2633612856298
R3,52,Burkina Faso,20,0,0.0,,
R3,52,Japan,7,0,0.0,,
R3,52,Nigeria,12,0,0.0,,
R3,52,Philippines,14,0,0.0,,
R4,52,Benin,107,0,0.0,,
R4,52,Burkina Faso,20,20,1.0,0.0,0.0
R4,52,Japan,7,0,0.0,,
R4,52,Nigeria,12,0,0.0,,
R4,52,Philippines,14,0,0.0,,
R5,52,Benin,107,16,0.14953271028037382,1064.856880841121,956.0563932244086
R5,52,Burkina Faso,20,0,0.0,,
R5,52,Japan,7,0,0.0,,
R5,52,Nigeria,12,0,0.0,,
R5,52,Philippines,14,0,0.0,,
R6,52,Benin,107,0,0.0,,
R6,52,Burkina Faso,20,0,0.0,,
R6,52,Japan,7,0,0.0,,
R6,52,Nigeria,12,0,0.0,,
R6,52,Philippines,14,7,0.5,229.66285714285732,58.31220036873992
R7,52,Benin,107,0,0.0,,
R7,52,Burkina Faso,20,0,0.0,,
R7,52,Japan,7,0,0.0,,
R7,52,Nigeria,12,0,0.0,,
R7,52,Philippines,14,7,0.5,-229.6628571428571,-58.31220036873992
R1,62,Benin,107,34,0.3177570093457944,-895.348227047828,-418.4357222875883
R1,62,Burkina Faso,20,0,0.0,,
R1,62,Japan,7,5,0.7142857142857143,-194.13428571428585,-1.3398734240522572
R1,62,Nigeria,12,6,0.5,-583.0058333333332,-290.3372580658465
R1,62,Philippines,14,0,0.0,,
R2,62,Benin,107,35,0.32710280373831774,378.33011748998706,-68.88529030786094
R2,62,Burkina Faso,20,0,0.0,,
R2,62,Japan,7,2,0.2857142857142857,485.3357142857144,3.349683560129961
R2,62,Nigeria,12,6,0.5,583.0058333333336,290.337258065847
R2,62,Philippines,14,0,0.0,,
R3,62,Benin,107,23,0.21495327102803738,-98.28008126777695,103.92143043843998
R3,62,Burkina Faso,20,0,0.0,,
R3,62,Japan,7,0,0.0,,
R3,62,Nigeria,12,0,0.0,,
R3,62,Philippines,14,0,0.0,,
R4,62,Benin,107,0,0.0,,
R4,62,Burkina Faso,20,20,1.0,0.0,-2.2737367544323206e-13
R4,62,Japan,7,0,0.0,,
R4,62,Nigeria,12,0,0.0,,
R4,62,Philippines,14,0,0.0,,
R5,62,Benin,107,15,0.14018691588785046,1297.3818317757014,949.8404545645985
R5,62,Burkina Faso,20,0,0.0,,
R5,62,Japan,7,0,0.0,,
R5,62,Nigeria,12,0,0.0,,
R5,62,Philippines,14,0,0.0,,
R6,62,Benin,107,0,0.0,,
R6,62,Burkina Faso,20,0,0.0,,
R6,62,Japan,7,0,0.0,,
R6,62,Nigeria,12,0,0.0,,
R6,62,Philippines,14,8,0.5714285714285714,264.9023214285712,82.20733447946077
R7,62,Benin,107,0,0.0,,
R7,62,Burkina Faso,20,0,0.0,,
R7,62,Japan,7,0,0.0,,
R7,62,Nigeria,12,0,0.0,,
R7,62,Philippines,14,6,0.42857142857142855,-353.20309523809556,-109.60977930594731
