rule_id,seed,support_count,support_pct,actual_lift_vs_global,predicted_lift_vs_global
R1,42,45,0.28125,-311.39990277777724,106.2086053211624
R2,42,43,0.26875,348.79973546511656,194.97520191291642
R3,42,21,0.13125,360.28263690476206,434.3686652777569
R4,42,20,0.125,-1261.6461249999998,-1289.2489050748172
R5,42,17,0.10625,1957.0049338235294,1184.8099224541897
R6,42,7,0.04375,-935.7364107142855,-1066.887342340984
R7,42,7,0.04375,-1433.9049821428569,-1310.5202966255154
R1,52,45,0.28125,85.77177104166685,86.28194375234125
R2,52,43,0.26875,317.60919739825613,97.26630290799903
R3,52,22,0.1375,225.84801346590848,541.5269242131844
R4,52,20,0.125,-1319.7337306249997,-1231.336936286018
R5,52,16,0.1,1453.1158543749998,1383.3199561519632
R6,52,7,0.04375,-1151.8200384821425,-1190.6243281527152
R7,52,7,0.04375,-1611.145752767857,-1307.2487288901946
R1,62,45,0.28125,-482.2829444444442,-58.056464927125944
R2,62,43,0.26875,675.8406162790702,284.42118750236295
R3,62,23,0.14375,216.73158695652228,459.5089403360953
R4,62,20,0.125,-1088.4344999999998,-1213.3972937408555
R5,62,15,0.09375,1612.3935000000006,1305.4279644622543
R6,62,8,0.05,-789.4157499999999,-1024.9176198582438
R7,62,6,0.0375,-1407.5211666666667,-1216.7347336436517
