feature,shap_rank_mean,shap_rank_std,perm_rank_mean,perm_rank_std,shap_top10_rate,perm_top10_rate,mean_abs_shap_mean,delta_rmse_mean,final_role,joint_top10_rate
location,1.0,0.0,3.0,1.0,1.0,1.0,226.5834934297338,69.0529146126138,context,1.0
country,2.6666666666666665,1.1547005383792515,6.666666666666667,2.516611478423583,1.0,1.0,175.38886657636064,36.94241129151493,context,1.0
soil_P,3.0,0.0,5.333333333333333,1.5275252316519465,1.0,1.0,162.52643639938626,50.05647080772132,context,1.0
variety,3.3333333333333335,1.1547005383792515,1.0,0.0,1.0,1.0,154.66977577935992,107.26321388152233,modifiable,1.0
soil_pH,5.666666666666667,0.5773502691896257,7.666666666666667,0.5773502691896257,1.0,1.0,106.72478795789088,31.518578160799063,context,1.0
P_fertilizer,6.0,1.0,3.6666666666666665,1.1547005383792515,1.0,1.0,108.23521276627916,56.87221040943074,modifiable,1.0
plot_area,6.333333333333333,1.1547005383792517,8.666666666666666,0.5773502691896258,1.0,1.0,103.63573331602227,26.12073081577597,context,1.0
flooded,8.333333333333334,0.5773502691896258,3.0,1.7320508075688772,1.0,1.0,59.342907636705405,63.51779599505546,modifiable,1.0
planting_date,10.333333333333334,0.5773502691896258,6.0,0.0,0.6666666666666666,1.0,27.732227109687965,38.543902172867725,context,0.6666666666666666
latitude,8.666666666666666,0.5773502691896258,12.333333333333334,1.5275252316519468,1.0,0.0,43.964579907765604,5.278899653966779,context,0.0
longitude,10.666666666666666,0.5773502691896258,15.333333333333334,1.5275252316519468,0.3333333333333333,0.0,22.833404471538852,2.843968638507969,context,0.0
season,12.666666666666666,0.5773502691896258,12.333333333333334,4.041451884327381,0.0,0.6666666666666666,8.098378577010513,6.715887382167845,context,0.0
K_fertilizer,13.333333333333334,1.1547005383792515,14.0,1.0,0.0,0.0,6.096536166586785,3.7978870917917695,modifiable,0.0
N_fertilizer,14.333333333333334,1.1547005383792515,11.333333333333334,1.1547005383792515,0.0,0.3333333333333333,4.199979934452117,7.8790237954659785,modifiable,0.0
irrigated,14.666666666666666,2.309401076758503,13.0,2.0,0.0,0.0,3.5495305540417506,5.236936412575375,modifiable,0.0
row_spacing,15.0,1.0,15.0,1.7320508075688772,0.0,0.0,3.2593058934868586,2.1087148035794123,modifiable,0.0
rep,17.0,0.0,14.666666666666666,3.2145502536643185,0.0,0.0,0.2689305395544372,2.0524078977400486,context,0.0
