feature,mean_abs_shap,shap_rank,final_role
location,206.42885189875818,1,context
country,164.89422637715143,2,context
variety,135.03376944921243,3,modifiable
soil_P,84.0099986980036,4,context
plot_area,81.2853295980575,5,context
flooded,79.25642877410048,6,modifiable
P_fertilizer,71.29003066823745,7,modifiable
planting_date,58.93803176158817,8,context
soil_pH,53.49170185122616,9,context
irrigated,49.59675304170107,10,modifiable
latitude,44.31081146404607,11,context
longitude,34.7077389910889,12,context
N_fertilizer,25.506988814911878,13,modifiable
K_fertilizer,21.07100005446532,14,modifiable
season,18.273021477902,15,context
row_spacing,9.789690412924719,16,modifiable
rep,2.8634803396775035,17,context
