feature,delta_rmse_mean,delta_rmse_std,delta_r2_mean,delta_r2_std,perm_rank
variety,83.62416058221532,35.702217087756985,0.09179188976853242,0.04108866993058121,1
flooded,72.73361900575122,13.858989325701486,0.07895142617039547,0.015616229919747869,2
location,66.61752959450652,15.079195696051196,0.07212785805848884,0.016798483513449574,3
soil_P,63.28517639180856,12.910322528373541,0.06838490117583151,0.014347798708280447,4
P_fertilizer,51.06725232215737,9.446350844637724,0.05483533163382566,0.010309106251701242,5
country,46.42793903999515,21.239234126974665,0.04993387550280412,0.023222011267432594,6
plot_area,38.57916249952717,9.070128188002686,0.041183613889640064,0.009867942651787939,7
planting_date,38.42775130740503,8.389713568652667,0.04101296913070608,0.009126197889282315,8
soil_pH,30.93712745592859,6.821355658705398,0.03289296539838853,0.0073629960488128515,9
season,9.76858902568496,1.193284612749239,0.010272023642563452,0.0012596101812200752,10
rep,6.6161933300085,0.022313997005473336,0.0069458483756873884,2.3502571043068686e-05,11
latitude,2.0973043124789115,4.924227204039667,0.002209464280975723,0.005160973707323789,12
irrigated,2.067244407096041,4.475063426572653,0.00217575517160698,0.004694987181717491,13
K_fertilizer,0.812732119377344,2.135187585712638,0.0008531451025006881,0.0022361603090165364,14
longitude,0.6853402046585586,2.27548350101636,0.0007200649419326771,0.002382535256231069,15
N_fertilizer,-0.3030790662578653,2.6511202343257536,-0.00031344709448791197,0.0027679859731780435,16
row_spacing,-2.5324688470178103,0.44871253096540337,-0.0026465291903836202,0.0004684609712119975,17
